"crime_year","council_district","highest_offense_description","clearance_status","total_crimes"
"2003",1,"DEADLY CONDUCT","Uncleared","2"
"2003",1,"DEADLY CONDUCT FAM/DATE VIOL","Cleared","1"
"2003",1,"DEBIT CARD ABUSE","Cleared","3"
"2003",1,"DEBIT CARD ABUSE","Uncleared","3"
"2003",1,"DEL CONTROLLED SUB/NARCOTIC","Cleared","59"
"2003",1,"DEL CONTROLLED SUB/NARCOTIC","Uncleared","52"
"2003",1,"DEL OF ALCOHOL TO MINOR","Uncleared","3"
"2003",1,"DEPENDENT AND NEGLECTED CHILD","Cleared","1"
"2003",1,"DISPOSAL OF SOLID WASTE","Cleared","2"
"2003",1,"DISPOSAL OF SOLID WASTE","Uncleared","2"
"2003",1,"DISTURBANCE - OTHER","Cleared","151"
"2003",1,"DISTURBANCE - OTHER","Uncleared","153"
"2003",1,"DOC ABUSIVE LANGUAGE","Cleared","4"
"2003",1,"DOC ABUSIVE LANGUAGE","Uncleared","5"
"2003",1,"DOC CREATING NOXIOUS ODOR","Cleared","1"
"2003",1,"DOC DISCHARGE GUN - PUB PLACE","Cleared","3"
"2003",1,"DOC DISCHARGE GUN - PUB PLACE","Uncleared","2"
"2003",1,"DOC DISCHARGE GUN - PUB ROAD","Uncleared","1"
"2003",1,"DOC DISPLAY GUN/DEADLY PUB PLC","Cleared","2"
"2003",1,"DOC DISPLAY GUN/DEADLY PUB PLC","Uncleared","5"
"2003",1,"DOC EXPOSURE","Uncleared","2"
"2003",1,"DOC FIGHTING","Cleared","10"
"2003",1,"DOC FIGHTING","Uncleared","4"
"2003",1,"DOC OFFENSIVE GESTURE","Cleared","1"
"2003",1,"DOC UNREASONABLE NOISE","Cleared","5"
"2003",1,"DOC UNREASONABLE NOISE","Uncleared","5"
"2003",1,"DOC WINDOW PEEPING - HOTEL","Cleared","1"
"2003",1,"DUI - AGE 17 TO 20","Cleared","3"
"2003",1,"DUI - AGE 17 TO 20","Uncleared","1"
"2003",1,"DUMPING REFUSE NEAR HIGHWAY","Cleared","11"
"2003",1,"DUMPING REFUSE NEAR HIGHWAY","Uncleared","9"
"2003",1,"DWI","Cleared","244"
"2003",1,"DWI","Uncleared","53"
"2003",1,"DWI 2ND","Cleared","16"
"2003",1,"DWI 2ND","Uncleared","3"
"2003",1,"ESCAPE FROM CUSTODY","Cleared","1"
"2003",1,"EVADING / FOOT","Cleared","42"
"2003",1,"EVADING / FOOT","Uncleared","6"
"2003",1,"EVADING / VEHICLE PURSUIT","Cleared","20"
"2003",1,"EVADING / VEHICLE PURSUIT","Uncleared","1"
"2003",1,"EVADING VEHICLE","Uncleared","1"
"2003",1,"EXPIRED-ATT AGG ROBBERY/WEAP","Cleared","2"
"2003",1,"EXPIRED-ATT AGG ROBBERY/WEAP","Uncleared","4"
"2003",1,"EXPIRED-ATT AGG SEXUAL ASSAULT","Cleared","1"
"2003",1,"EXPIRED-ATT AGG SEXUAL ASSAULT","Uncleared","1"
"2003",1,"EXPIRED-ATT KIDNAPPING","Cleared","1"
"2003",1,"EXPIRED-ATT KIDNAPPING","Uncleared","1"
"2003",1,"EXPIRED-ATT OBT CONT SUB FRAUD","Cleared","2"
"2003",1,"EXPIRED-ATT ROBBERY BY ASSAULT","Cleared","3"
"2003",1,"EXPIRED-ATT ROBBERY BY ASSAULT","Uncleared","2"
"2003",1,"EXPIRED-ATT SEXUAL ASSAULT","Cleared","5"
"2003",1,"EXPIRED-ATT SEXUAL ASSAULT","Uncleared","1"
"2003",1,"EXPIRED-EVADING ARREST","Cleared","6"
"2003",1,"EXPIRED-EVADING ARREST","Uncleared","4"
"2003",1,"EXPIRED-INJURY CHILD - ELDERLY","Cleared","3"
"2003",1,"EXPIRED-INJURY CHILD - ELDERLY","Uncleared","1"
"2003",1,"EXPLOSIVE ORDNANCE DISPOSAL","Cleared","1"
"2003",1,"FAILURE TO IDENTIFY","Cleared","99"
"2003",1,"FAILURE TO IDENTIFY","Uncleared","35"
"2003",1,"FAILURE TO REG AS SEX OFFENDER","Cleared","20"
"2003",1,"FAILURE TO REG AS SEX OFFENDER","Uncleared","2"
"2003",1,"FALSE ALARM OR REPORT","Cleared","4"
"2003",1,"FALSE ALARM OR REPORT","Uncleared","4"
"2003",1,"FALSE REPORT TO PEACE OFFICER","Cleared","5"
"2003",1,"FALSE STATEMENT -OBTAIN CREDIT","Cleared","9"
"2003",1,"FALSE STATEMENT -OBTAIN CREDIT","Uncleared","12"
"2003",1,"FAMILY DISTURBANCE","Cleared","884"
"2003",1,"FAMILY DISTURBANCE","Uncleared","250"
"2003",1,"FAMILY DISTURBANCE/PARENTAL","Cleared","77"
"2003",1,"FAMILY DISTURBANCE/PARENTAL","Uncleared","24"
"2003",1,"FEDERAL VIOL/OTHER","Cleared","1"
"2003",1,"FEDERAL VIOL/OTHER","Uncleared","2"
"2003",1,"FELONY ENHANCEMENT/ASSLT W/INJ","Cleared","34"
"2003",1,"FELONY ENHANCEMENT/ASSLT W/INJ","Uncleared","2"
"2003",1,"FORCED SODOMY","Cleared","1"
"2003",1,"FORGERY - OTHER","Cleared","17"
"2003",1,"FORGERY - OTHER","Uncleared","10"
"2003",1,"FORGERY AND PASSING","Cleared","60"
"2003",1,"FORGERY AND PASSING","Uncleared","31"
"2003",1,"FORGERY BY ALTERATION","Cleared","1"
"2003",1,"FORGERY BY ALTERATION","Uncleared","1"
"2003",1,"FORGERY BY MAKING","Cleared","3"
"2003",1,"FORGERY BY MAKING","Uncleared","2"
"2003",1,"FORGERY OF IDENTIFICATION","Cleared","1"
"2003",1,"FORGERY OF IDENTIFICATION","Uncleared","1"
"2003",1,"FRAUD - OTHER","Cleared","8"
"2003",1,"FRAUD - OTHER","Uncleared","4"
"2003",1,"GAMBLING","Cleared","4"
"2003",1,"GAMBLING","Uncleared","1"
"2003",1,"GRAFFITI","Cleared","7"
"2003",1,"GRAFFITI","Uncleared","3"
"2003",1,"HARASSMENT","Cleared","323"
"2003",1,"HARASSMENT","Uncleared","102"
"2003",1,"HARBORING RUNAWAY CHILD","Cleared","2"
"2003",1,"HINDERING APPREHENSION","Cleared","1"
"2003",1,"IDENTITY THEFT","Cleared","58"
"2003",1,"IDENTITY THEFT","Uncleared","9"
"2003",1,"IMMIGRATION HOLD/ARREST","Cleared","2"
"2003",1,"IMPERSONATING PUBLIC SERVANT","Cleared","2"
"2003",1,"IMPERSONATING PUBLIC SERVANT","Uncleared","1"
"2003",1,"INDECENCY WITH A CHILD/CONTACT","Cleared","29"
"2003",1,"INDECENCY WITH A CHILD/CONTACT","Uncleared","3"
"2003",1,"INDECENCY WITH CHILD/EXPOSURE","Cleared","6"
"2003",1,"INDECENT EXPOSURE","Cleared","3"
"2003",1,"INDECENT EXPOSURE","Uncleared","2"
"2003",1,"INHALANT ABUSE","Cleared","1"
"2003",1,"INJ TO DISABLED  FAM/DATE VIOL","Cleared","1"
"2003",1,"INJ TO DISABLED  FAM/DATE VIOL","Uncleared","1"
"2003",1,"INJURY TO CHILD","Cleared","40"
"2003",1,"INJURY TO CHILD","Uncleared","8"
"2003",1,"INJURY TO CHILD (CARE/CUSTODY)","Cleared","5"
"2003",1,"INJURY TO CHILD (CARE/CUSTODY)","Uncleared","1"
"2003",1,"INJURY TO ELDERLY PERSON","Cleared","1"
"2003",1,"INJURY TO ELDERLY PERSON","Uncleared","1"
"2003",1,"INTERFERING W/EMERG PHONE CALL","Cleared","4"
"2003",1,"JUSTIFIED HOMICIDE","Cleared","1"
"2003",1,"KIDNAPPING","Cleared","2"
"2003",1,"LIQUOR LAW VIOLATION/OTHER","Cleared","5"
"2003",1,"LIQUOR LAW VIOLATION/OTHER","Uncleared","6"
"2003",1,"LITTERING","Cleared","7"
"2003",1,"LITTERING","Uncleared","2"
"2003",1,"MAKING TOBACCO AVAIL TO MINOR","Cleared","1"
"2003",1,"MURDER","Cleared","3"
"2003",1,"MURDER","Uncleared","1"
"2003",1,"NUISANCE ABATEMENT","Cleared","1"
"2003",1,"OBTAIN CONTROLLED SUB BY FRAUD","Cleared","1"
"2003",1,"PAROLE VIOL","Cleared","7"
"2003",1,"PAROLE VIOL","Uncleared","6"
"2003",1,"PIGEON DROP","Uncleared","1"
"2003",1,"POSS CONTROLLED SUB/NARCOTIC","Cleared","236"
"2003",1,"POSS CONTROLLED SUB/NARCOTIC","Uncleared","94"
"2003",1,"POSS CONTROLLED SUB/OTHER","Cleared","4"
"2003",1,"POSS CONTROLLED SUB/OTHER","Uncleared","8"
"2003",1,"POSS CONTROLLED SUB/SYN NARC","Cleared","2"
"2003",1,"POSS DANG DRUG","Cleared","14"
"2003",1,"POSS DANG DRUG","Uncleared","5"
"2003",1,"POSS OF ALCOHOL - AGE 17 TO 20","Cleared","4"
"2003",1,"POSS OF ALCOHOL - AGE 17 TO 20","Uncleared","4"
"2003",1,"POSS OF DRUG PARAPHERNALIA","Cleared","355"
"2003",1,"POSS OF DRUG PARAPHERNALIA","Uncleared","80"
"2003",1,"POSS OF FIREARM BY FELON","Cleared","9"
"2003",1,"POSS OF PROHIBITED WEAPON","Cleared","2"
"2003",1,"POSS OF PROHIBITED WEAPON","Uncleared","1"
"2003",1,"POSS/PROMO CHILD PORNOGRAPHY","Cleared","2"
"2003",1,"POSSESSION OF MARIJUANA","Cleared","113"
"2003",1,"POSSESSION OF MARIJUANA","Uncleared","44"
"2003",1,"PROBATION VIOL","Cleared","6"
"2003",1,"PROBATION VIOL","Uncleared","4"
"2003",1,"PROSTITUTION","Cleared","112"
"2003",1,"PROSTITUTION","Uncleared","22"
"2003",1,"PROTECTIVE ORDER","Cleared","30"
"2003",1,"PROTECTIVE ORDER","Uncleared","20"
"2003",1,"PROWLER","Uncleared","3"
"2003",1,"PUBLIC INTOXICATION","Cleared","165"
"2003",1,"PUBLIC INTOXICATION","Uncleared","69"
"2003",1,"PUBLIC LEWDNESS","Cleared","2"
"2003",1,"PUBLIC LEWDNESS","Uncleared","1"
"2003",1,"PURSE SNATCHING","Cleared","1"
"2003",1,"RAPE","Cleared","15"
"2003",1,"RAPE","Uncleared","2"
"2003",1,"RAPE OF A CHILD","Cleared","9"
"2003",1,"RECKLESS CONDUCT","Cleared","1"
"2003",1,"RECKLESS DAMAGE","Uncleared","1"
"2003",1,"RESISTING ARREST OR SEARCH","Cleared","9"
"2003",1,"RESISTING ARREST OR SEARCH","Uncleared","2"
"2003",1,"RETALIATION","Cleared","8"
"2003",1,"RETALIATION","Uncleared","2"
"2003",1,"ROBBERY BY ASSAULT","Cleared","42"
"2003",1,"ROBBERY BY ASSAULT","Uncleared","27"
"2003",1,"ROBBERY BY THREAT","Cleared","3"
"2003",1,"ROBBERY BY THREAT","Uncleared","3"
"2003",1,"SALE OR PURCHASE OF CHILD","Uncleared","1"
"2003",1,"SERIOUS INJURY TO A CHILD","Cleared","1"
"2003",1,"SEXUAL ASSAULT OF CHILD/OBJECT","Cleared","15"
"2003",1,"SEXUAL ASSAULT W/ OBJECT","Cleared","6"
"2003",1,"SEXUAL ASSAULT W/ OBJECT","Uncleared","2"
"2003",1,"STALKING","Cleared","10"
"2003",1,"STATUTORY RAPE OF CHILD","Cleared","17"
"2003",1,"STATUTORY RAPE OF CHILD","Uncleared","1"
"2003",1,"TAMPERING WITH EVIDENCE","Cleared","4"
"2003",1,"TAMPERING WITH EVIDENCE","Uncleared","2"
"2003",1,"TAMPERING WITH GOV RECORD","Cleared","1"
"2003",1,"TAMPERING WITH GOV RECORD","Uncleared","2"
"2003",1,"TAMPERING WITH WITNESS","Uncleared","1"
"2003",1,"TERRORISTIC THREAT","Cleared","75"
"2003",1,"TERRORISTIC THREAT","Uncleared","17"
"2003",1,"TERRORISTIC THREAT-FAM/DAT VIO","Cleared","7"
"2003",1,"THEFT","Cleared","487"
"2003",1,"THEFT","Uncleared","245"
"2003",1,"THEFT- APPROPRIATE STOLEN PROP","Cleared","2"
"2003",1,"THEFT BY EMBEZZLEMENT","Cleared","3"
"2003",1,"THEFT BY FALSE PRETEXT/BUNCO","Cleared","1"
"2003",1,"THEFT BY SHOPLIFTING","Cleared","62"
"2003",1,"THEFT BY SHOPLIFTING","Uncleared","22"
"2003",1,"THEFT FROM AUTO","Cleared","20"
"2003",1,"THEFT FROM AUTO","Uncleared","11"
"2003",1,"THEFT FROM BUILDING","Cleared","7"
"2003",1,"THEFT FROM BUILDING","Uncleared","8"
"2003",1,"THEFT FROM PERSON","Cleared","33"
"2003",1,"THEFT FROM PERSON","Uncleared","14"
"2003",1,"THEFT OF AUTO PARTS","Cleared","10"
"2003",1,"THEFT OF AUTO PARTS","Uncleared","14"
"2003",1,"THEFT OF BICYCLE","Cleared","35"
"2003",1,"THEFT OF BICYCLE","Uncleared","26"
"2003",1,"THEFT OF HEAVY EQUIPMENT","Cleared","1"
"2003",1,"THEFT OF LICENSE PLATE","Cleared","10"
"2003",1,"THEFT OF LICENSE PLATE","Uncleared","7"
"2003",1,"THEFT OF SERVICE","Cleared","38"
"2003",1,"THEFT OF SERVICE","Uncleared","14"
"2003",1,"THEFT OF TELECOMMUNICATION SRV","Cleared","1"
"2003",1,"THEFT OF TRAILER","Cleared","8"
"2003",1,"THEFT OF TRAILER","Uncleared","5"
"2003",1,"THEFT/TILL TAPPING","Cleared","1"
"2003",1,"TOBACCO VIOL - AGE 17","Cleared","4"
"2003",1,"TOBACCO VIOL - AGE 17","Uncleared","1"
"2003",1,"TOBACCO VIOL - UNDER AGE 17","Cleared","8"
"2003",1,"TOBACCO VIOL - UNDER AGE 17","Uncleared","3"
"2003",1,"UNLAWFUL CARRY-LIC HOLDER","Cleared","1"
"2003",1,"UNLAWFUL CARRYING WEAPON","Cleared","17"
"2003",1,"UNLAWFUL CARRYING WEAPON","Uncleared","4"
"2003",1,"UNLAWFUL RESTRAINT","Cleared","1"
"2003",1,"URINATING IN PUBLIC PLACE","Cleared","9"
"2003",1,"URINATING IN PUBLIC PLACE","Uncleared","19"
"2003",1,"VIOL CITY ORDINANCE - CURFEW","Cleared","28"
"2003",1,"VIOL CITY ORDINANCE - CURFEW","Uncleared","25"
"2003",1,"VIOL CITY ORDINANCE - DOG","Cleared","4"
"2003",1,"VIOL CITY ORDINANCE - DOG","Uncleared","7"
"2003",1,"VIOL CITY ORDINANCE - OTHER","Cleared","24"
"2003",1,"VIOL CITY ORDINANCE - OTHER","Uncleared","44"
"2003",1,"VIOL CITY ORDINANCE - WRECKER","Cleared","1"
"2003",1,"VIOL CITY ORDINANCE - WRECKER","Uncleared","2"
"2003",1,"VIOL CITY ORDINANCE -FIREWORK","Cleared","1"
"2003",1,"VIOL CITY ORDINANCE -FIREWORK","Uncleared","7"
"2003",1,"VIOL CIVIL RIGHTS PRISONER","Uncleared","1"
"2003",1,"VIOL GLASS CONTAINER","Cleared","2"
"2003",1,"VIOL GLASS CONTAINER","Uncleared","12"
"2003",1,"VIOL OF COURT ORDER-NON EPO-PO","Cleared","27"
"2003",1,"VIOL OF COURT ORDER-NON EPO-PO","Uncleared","11"
"2003",1,"VIOL OF EMERG PROTECTIVE ORDER","Cleared","10"
"2003",1,"VIOL OF PARK CURFEW","Cleared","12"
"2003",1,"VIOL OF PARK CURFEW","Uncleared","4"
"2003",1,"VIOL OF PROTECTIVE ORDER OR BOND FV/SEX CRIME/HUMAN TRAFFICKING","Cleared","65"
"2003",1,"VIOL OF PROTECTIVE ORDER OR BOND FV/SEX CRIME/HUMAN TRAFFICKING","Uncleared","3"
"2003",1,"VIOL STATE LAW - OTHER","Cleared","71"
"2003",1,"VIOL STATE LAW - OTHER","Uncleared","26"
"2003",1,"VOCO - ALCOHOL  CONSUMPTION","Cleared","32"
"2003",1,"VOCO - ALCOHOL  CONSUMPTION","Uncleared","48"
"2003",1,"VOCO AMPLIFIED MUSIC/VEHICLE","Cleared","66"
"2003",1,"VOCO AMPLIFIED MUSIC/VEHICLE","Uncleared","142"
"2003",1,"WARRANT ARREST NON TRAFFIC","Cleared","152"
"2003",1,"WARRANT ARREST NON TRAFFIC","Uncleared","115"
"2003",1,"WEAPON VIOL - OTHER","Cleared","5"
"2003",2,"AGG ASLT W/MOTOR VEH FAM/DAT V","Cleared","3"
"2003",2,"AGG ASSAULT","Cleared","50"
"2003",2,"AGG ASSAULT","Uncleared","16"
"2003",2,"AGG ASSAULT FAM/DATE VIOLENCE","Cleared","49"
"2003",2,"AGG ASSAULT FAM/DATE VIOLENCE","Uncleared","1"
"2003",2,"AGG ASSAULT ON PUBLIC SERVANT","Cleared","5"
"2003",2,"AGG ASSAULT WITH MOTOR VEH","Cleared","5"
"2003",2,"AGG ASSAULT WITH MOTOR VEH","Uncleared","3"
"2003",2,"AGG FORCED SODOMY OF CHILD","Cleared","8"
"2003",2,"AGG RAPE OF A CHILD","Cleared","4"
"2003",2,"AGG ROBBERY BY ASSAULT","Cleared","3"
"2003",2,"AGG ROBBERY BY ASSAULT","Uncleared","1"
"2003",2,"AGG ROBBERY/DEADLY WEAPON","Cleared","24"
"2003",2,"AGG ROBBERY/DEADLY WEAPON","Uncleared","10"
"2003",2,"AGG SEXUAL ASSAULT CHILD/OBJEC","Cleared","6"
"2003",2,"AGG SEXUAL ASSAULT CHILD/OBJEC","Uncleared","1"
"2003",2,"AGG SEXUAL ASSAULT W OBJECT","Cleared","1"
"2003",2,"AGG SEXUAL ASSAULT W OBJECT","Uncleared","1"
"2003",2,"APPLIC TO REVOKE PROBATION","Cleared","12"
"2003",2,"APPLIC TO REVOKE PROBATION","Uncleared","13"
"2003",2,"ARSON","Cleared","8"
"2003",2,"ARSON","Uncleared","4"
"2003",2,"ARSON-CRIMINAL MISCHIEF","Cleared","1"
"2003",2,"ASSAULT BY CONTACT","Cleared","90"
"2003",2,"ASSAULT BY CONTACT","Uncleared","10"
"2003",2,"ASSAULT BY CONTACT FAM/DATING","Cleared","83"
"2003",2,"ASSAULT BY CONTACT FAM/DATING","Uncleared","3"
"2003",2,"ASSAULT BY THREAT","Cleared","102"
"2003",2,"ASSAULT BY THREAT","Uncleared","16"
"2003",2,"ASSAULT BY THREAT FAM/DATING","Cleared","24"
"2003",2,"ASSAULT BY THREAT FAM/DATING","Uncleared","3"
"2003",2,"ASSAULT ON PUBLIC SERVANT","Cleared","9"
"2003",2,"ASSAULT ON PUBLIC SERVANT","Uncleared","1"
"2003",2,"ASSAULT W/INJURY-FAM/DATE VIOL","Cleared","560"
"2003",2,"ASSAULT W/INJURY-FAM/DATE VIOL","Uncleared","63"
"2003",2,"ASSAULT WITH INJURY","Cleared","136"
"2003",2,"ASSAULT WITH INJURY","Uncleared","68"
"2003",2,"ATT BURGLARY NON RESIDENCE","Cleared","1"
"2003",2,"ATT BURGLARY NON RESIDENCE","Uncleared","9"
"2003",2,"ATT BURGLARY OF RESIDENCE","Cleared","11"
"2003",2,"ATT BURGLARY OF RESIDENCE","Uncleared","24"
"2003",2,"ATT THEFT","Cleared","9"
"2003",2,"ATT THEFT","Uncleared","4"
"2003",2,"AUTO THEFT","Cleared","142"
"2003",2,"AUTO THEFT","Uncleared","65"
"2003",2,"BOMB THREAT","Cleared","1"
"2003",2,"BOMB THREAT","Uncleared","1"
"2003",2,"BURG OF RES - FAM/DATING ASLT","Cleared","4"
"2003",2,"BURGLARY NON RESIDENCE","Cleared","75"
"2003",2,"BURGLARY NON RESIDENCE","Uncleared","64"
"2003",2,"BURGLARY OF COIN-OP MACHINE","Cleared","8"
"2003",2,"BURGLARY OF COIN-OP MACHINE","Uncleared","3"
"2003",2,"BURGLARY OF RESIDENCE","Cleared","317"
"2003",2,"BURGLARY OF RESIDENCE","Uncleared","196"
"2003",2,"BURGLARY OF VEHICLE","Cleared","812"
"2003",2,"BURGLARY OF VEHICLE","Uncleared","667"
"2003",2,"CAMPING IN PARK","Uncleared","8"
"2003",2,"CHILD CUSTODY INTERFERE","Cleared","8"
"2003",2,"CHILD CUSTODY INTERFERE","Uncleared","1"
"2003",2,"CHILD ENDANGERMENT- ABANDONMEN","Cleared","14"
"2003",2,"CHILD ENDANGERMENT- ABANDONMEN","Uncleared","9"
"2003",2,"CIVIL DISTURBANCE/DEMO","Uncleared","4"
"2003",2,"COUNTERFEITING","Cleared","23"
"2003",2,"COUNTERFEITING","Uncleared","7"
"2003",2,"CRASH/FAIL STOP AND RENDER AID","Cleared","5"
"2003",2,"CRASH/FAIL STOP AND RENDER AID","Uncleared","4"
"2003",2,"CRASH/INTOXICATION ASSAULT","Cleared","1"
"2003",2,"CRED CARD ABUSE - OTHER","Cleared","6"
"2003",2,"CRED CARD ABUSE - OTHER","Uncleared","3"
"2003",2,"CRED CARD ABUSE BY FORGERY","Cleared","20"
"2003",2,"CRED CARD ABUSE BY FORGERY","Uncleared","15"
"2003",2,"CRIMINAL MISCHIEF","Cleared","596"
"2003",2,"CRIMINAL MISCHIEF","Uncleared","276"
"2003",2,"CRIMINAL SOLICITATION OF MINOR","Cleared","2"
"2003",2,"CRIMINAL TRESPASS","Cleared","131"
"2003",2,"CRIMINAL TRESPASS","Uncleared","19"
"2003",2,"CRIMINAL TRESPASS/HOTEL","Cleared","3"
"2003",2,"CRIMINAL TRESPASS/TRANSIENT","Cleared","22"
"2003",2,"CRIMINAL TRESPASS/TRANSIENT","Uncleared","1"
"2003",2,"CRUELTY TO ANIMALS","Cleared","39"
"2003",2,"CRUELTY TO ANIMALS","Uncleared","19"
"2003",2,"CUSTODY ARREST TRAFFIC WARR","Cleared","337"
